928 97396 
-22244 -161079 35147 
119002 99800 193149 
64867 120900 108438 
81886 -44717 53107 
-182172 -146522 103604 
19814 -108105 35537 
-79044 14753 136666 
-61392 161831 100569 
-163040 184009 38210 
66454 -97051 36699 
-172909 -108021 172903 
-165833 106311 169896 
78766 23052 179719 
-94021 -192015 3642 
195413 -106192 10625 
-195252 186813 6377 
73036 153556 62421 
-36495 -39391 46690 
902 69755 119451 
125366 -145908 169234 
-90082 7457 96734 
-129003 37957 53223 
6637 -122278 157663 
-180916 -146540 159486 
117242 -71637 30442 
-100727 165790 60819 
190706 -56794 80040 
-102961 -27075 105900 
100077 150049 10104 
-98478 195590 19298 
-148562 -99889 72053 
-27663 168378 12228 
159820 -197261 70853 
-145912 -48519 183138 
-120017 131317 122004 
-155209 6559 158210 
-39401 57348 51611 
148167 -136482 6434 
-188047 -146717 53633 
124598 -129183 41473 
22412 124828 4911 
-71064 35164 79283 
120134 -73930 72917 
-97000 279 103803 
-89892 -116726 94786 
-60750 192380 134624 
-74060 -26518 90669 
-48476 -123529 149349 
-52147 -49389 123518 
-24919 -158198 160044 
-59861 -141220 137925 
-130294 -164461 116089 
-102671 -151348 156306 
-189631 -88950 22635 
148786 -15600 171005 
-144533 73419 44482 
-11384 -79528 163496 
136908 193353 126892 
-46856 131355 131492 
138706 83455 67469 
70425 -143597 50369 
-116049 145679 104096 
15493 -106614 42781 
180531 -17359 100318 
-9663 -9448 168914 
89004 78994 40826 
-37280 45424 106145 
-198332 -133990 75594 
-32231 76384 125273 
142198 148026 147608 
-146382 5542 167632 
-39087 -62298 163175 
-170664 -115145 67983 
74717 131456 159063 
44186 32521 77099 
-162010 119087 186204 
-71148 -140582 28892 
39131 159404 194229 
145895 -14465 73309 
139089 183752 121292 
-124844 144352 164106 
80426 162733 36036 
-164117 44010 128833 
-28078 2632 150691 
11113 -14506 107538 
97963 -34408 95529 
-929 -68365 85862 
66094 -50333 144309 
-96243 -22484 51295 
35116 -191556 44733 
-19986 13534 70151 
56762 61690 77804 
29435 -169285 116061 
-71146 118370 180297 
148996 -137905 30906 
24617 103114 63538 
138622 -63529 155138 
10506 199283 142674 
106107 -63990 12524 
-132972 40462 123463 
161110 178353 178779 
132764 142603 84318 
188385 -179098 86536 
-89616 86468 119744 
195269 40805 40366 
-81489 -68260 155558 
97935 -1474 56652 
-47455 -27553 184568 
89947 -135644 31594 
-1015 -68269 98387 
71995 5923 163560 
1500 188672 75030 
111865 -122249 106213 
93727 -171806 46730 
196265 -183933 93858 
-83193 -164880 197099 
195698 5483 157523 
82636 -193506 109608 
175620 -71003 56400 
177400 -165914 149276 
-98033 132573 118191 
-23914 109420 32401 
181816 1687 153525 
146363 -129213 145124 
85882 77272 30723 
75923 21692 15756 
94340 7972 79784 
-117381 148420 147593 
-185918 -194516 168924 
37184 -30799 34754 
-28261 -5743 190853 
-113513 -168427 9087 
-73528 80640 35957 
-54114 124824 28683 
36897 -172585 39600 
-142932 89223 38695 
-198060 -65021 179732 
-172836 157738 62271 
132884 -653 85048 
42583 68697 75398 
33327 169753 159936 
167993 -119575 116335 
7899 -137901 29457 
-126507 -193304 187325 
-24658 -168912 151701 
38317 -11212 179161 
-22756 82592 182936 
181564 -138069 109576 
-62961 -82061 22862 
-95307 -118367 66843 
92070 67883 67200 
-49912 54820 34386 
-83513 -39528 192733 
43545 41885 47897 
111522 19713 92753 
159359 150611 75327 
-109860 -116902 27099 
117245 -6496 73672 
194457 -170839 138788 
-73864 69865 23606 
168021 -84354 146596 
-123703 158885 137294 
-181070 117469 79868 
-14058 181596 162906 
-94475 -111912 135238 
-180045 -82917 160853 
114504 -60189 176903 
-59206 -36220 60343 
-158411 63010 179845 
85167 168625 184262 
9381 6953 120938 
-66239 -85243 180297 
48357 -115816 47802 
143899 -143107 21270 
20372 -43318 77317 
-174279 119369 163452 
-119961 -65955 107883 
-99094 -53873 190090 
112083 108033 87999 
-134854 19626 150370 
-11593 65608 67119 
-186257 -189090 23456 
183196 -153108 17952 
73573 -24927 193039 
47272 -26476 167250 
14911 -32353 198044 
87318 13558 31587 
-162149 -151280 7064 
77758 58786 84488 
-71668 -105774 52885 
-174981 -18771 60058 
66761 34164 135616 
18456 -104020 157844 
-149439 -189958 94498 
75130 99456 161048 
19699 24305 163759 
174871 140829 21240 
139314 84945 78536 
73872 -66565 47747 
-111928 179148 158685 
64825 -117308 22484 
21111 -113261 100751 
-47404 180217 686 
-85178 96274 148203 
98083 48622 147122 
-90986 -37982 73801 
170631 -39749 160433 
-64895 -71481 65255 
-107163 102898 163827 
-52961 101846 16029 
181468 131929 193591 
-114963 133687 112987 
31629 147565 136262 
-30010 127224 39399 
-181375 -136959 147505 
-181012 78065 106118 
139090 180782 185309 
158791 -56752 103603 
-11598 81506 158020 
68807 12964 28662 
-136262 196294 62788 
-15409 -65556 99160 
-68799 -154174 13569 
-63972 115058 2495 
174728 124391 107625 
-110371 -165252 171368 
-24929 -56122 144755 
-172981 -2146 118216 
-160682 -156949 173799 
156298 -141899 127280 
-99010 57887 5055 
-59348 77319 44765 
-149395 -25440 187461 
-172360 -16303 100473 
16301 180470 139914 
-36488 170769 37672 
-39942 -67831 86961 
12433 -59799 116318 
-135911 199357 24201 
48714 -192763 149221 
4945 -40144 29828 
183165 35044 4435 
-49136 120798 55673 
169570 -58815 147894 
-173434 -128978 113521 
194287 -196319 32394 
-116122 116232 187047 
-79197 -181942 94504 
-184231 78389 65687 
174151 9198 79271 
133481 -56484 67370 
50185 121063 25337 
168644 -198019 28344 
-51047 185072 54111 
-79388 -15359 52337 
121206 24769 30897 
135022 -64004 20695 
87158 -22283 186496 
187599 106482 55768 
-30747 -40896 192682 
199860 14363 24953 
105091 -68841 70842 
67073 137218 11740 
63747 -99638 15857 
-90013 107022 106058 
95204 125325 125011 
14926 -51719 131817 
125751 -169998 69739 
150050 57851 74613 
-9371 -83579 161649 
-154839 56148 190107 
-137609 -14260 92934 
-156758 -137923 161365 
2424 -142834 127915 
-157244 -114688 79150 
-122310 -122069 76180 
-14419 -146685 184156 
-16082 182252 71587 
-63797 139692 171818 
-82068 25279 88883 
-92652 -61909 119137 
-164381 -1558 74856 
47321 -59385 70083 
156095 -126325 103580 
-195571 96097 52489 
-91124 61143 196085 
-135370 49271 163463 
-104835 -157255 115400 
-11023 84190 39489 
180050 162547 133235 
63127 79925 22390 
-14904 47447 128522 
-151157 -105288 5915 
-186570 -157230 172771 
-8378 -35361 57947 
196725 165264 131005 
113178 129775 139218 
-165377 -138756 104227 
4334 158603 23951 
40740 -54656 129277 
154277 26723 39774 
-4806 79935 112561 
-105054 160997 181913 
-101238 83417 111334 
148065 -155419 136520 
-60690 -194011 59892 
-46821 -69144 38409 
112928 138246 120830 
138199 -173492 128632 
-91786 126329 4073 
-155715 -28623 198121 
38395 -125796 8805 
-148330 194793 48399 
181672 102721 54656 
49422 46221 149408 
-151230 59828 120523 
158503 -104170 61379 
86571 -97196 187479 
-33066 -61344 81441 
52851 82445 97950 
168780 -8210 31592 
-151506 -11913 162362 
-40250 156098 132031 
-57837 138883 82203 
10083 110418 159602 
-147319 75265 33555 
-88041 123765 65045 
-123191 -127383 145747 
68066 66922 38641 
-109718 -41055 69609 
-11081 -18090 190610 
-190340 -5078 77926 
-29070 147430 87293 
15139 15113 128038 
120995 -114861 174495 
-144870 128414 108921 
-119624 -184731 34312 
-110993 -62416 166704 
78590 -121983 169917 
-110270 70606 73487 
-92499 -99909 73219 
157940 91592 157254 
-196007 156002 39134 
-527 25948 189378 
167402 -135950 197700 
-113519 -132521 146639 
169449 55689 106046 
-128014 98674 141595 
141001 -63106 82361 
-114856 1417 72451 
196736 125509 51018 
157111 -185243 113551 
-62796 -173881 34498 
55276 -194030 196346 
-117839 -197082 26427 
99319 -31737 185393 
-14937 -50575 142065 
-91355 168193 193290 
-25249 -60755 2853 
126492 -56705 49035 
-85912 -146427 90959 
12654 -174664 145899 
-39541 -75845 74139 
-85847 3552 46027 
17806 20029 110701 
106746 52644 71654 
61687 -30569 156526 
-147646 179880 29410 
71353 -180078 192125 
-21447 -51792 32804 
-19838 141031 119484 
182275 -59995 71212 
-170532 116436 147390 
-11692 -52224 129768 
81910 141886 170466 
-26080 44131 95197 
103852 -75575 174203 
-25297 -2380 169888 
-142528 -30373 110598 
183836 4644 86645 
125206 27849 173487 
-191637 69448 173773 
79352 130873 71860 
18800 121836 51950 
159153 31148 157995 
6593 -70725 102928 
152105 -68446 154121 
163110 199160 102915 
-38277 192381 182103 
176974 142129 46454 
-55240 -70802 94671 
49801 198390 85540 
-129066 -147924 72603 
116846 -21581 161924 
-68246 304 107544 
-117330 -39710 115284 
27790 -46477 19326 
-14906 68593 170121 
-38179 -108748 7086 
165434 -4402 46748 
177894 6255 7033 
-150373 155703 196702 
-3411 -37543 195648 
113886 -179371 77615 
182839 -111082 124137 
3695 -1465 41384 
-44481 -33437 138393 
-190646 84021 161419 
81986 114386 94072 
-31114 -80197 26287 
181846 104441 121694 
-160950 137198 0 
190162 31077 105668 
-2410 -57379 75746 
-46564 -129105 22154 
29962 168561 162474 
-15078 -109261 26520 
108247 -175765 163313 
129016 -81662 52349 
2494 113710 48786 
40649 171749 56737 
-163421 147045 167331 
-81060 -164880 56773 
-187326 14789 154163 
66423 -30161 94383 
67120 -135387 160627 
-189568 75004 57916 
-143895 -198455 155427 
145162 -124969 160183 
146256 86226 13582 
97704 37690 85067 
34144 74888 78142 
189102 82033 57141 
94775 197014 135969 
-52932 31368 138476 
114247 -16167 59339 
5288 -618 90030 
-124777 111007 191118 
-193254 -95112 10203 
196837 14018 41151 
25331 -177707 64072 
-105750 23693 1589 
-177432 -35490 153513 
166627 -125335 59950 
-14778 133447 60548 
-24165 145169 76160 
579 41818 109647 
2270 191545 50944 
-104976 147340 39375 
-38126 -82262 172719 
188182 -135012 172525 
118571 135230 125821 
64134 119089 97594 
137997 -18675 119252 
164460 -29467 157450 
166679 -170812 123545 
197848 -34486 58159 
-36917 -111572 109776 
56851 -162648 39250 
72820 184516 198968 
-91055 21243 105811 
123640 150546 33273 
-96102 39146 54281 
138762 -192593 9392 
91192 192005 56628 
-116662 -54790 181669 
173007 -37521 75039 
-88155 -60979 72306 
95125 -34420 99735 
-132930 -93746 57928 
-11704 80389 19839 
89693 82120 61040 
20736 -181392 166446 
-9528 -151436 93052 
22922 -193587 5756 
173304 -63066 23285 
106569 -178075 12880 
41712 109900 99960 
-26662 -98093 188273 
138681 -189982 118433 
-134262 -105666 35030 
108760 191646 46991 
19776 125185 22344 
-41126 196862 167508 
-118914 -176198 174619 
68799 199233 195715 
-119055 -157785 766 
-27057 -49660 138687 
-191827 99197 105156 
-189459 114735 186158 
161614 -48556 5854 
-132950 61259 19153 
10697 98417 21030 
-84670 -11256 132586 
180637 146504 68712 
129019 87188 6244 
-677 80782 44578 
20318 49793 80345 
-37244 180597 63654 
-138019 -59463 78918 
-159617 32337 74031 
179972 -94731 129767 
-62851 -64941 185836 
-5386 606 159387 
71040 30828 185563 
27909 -20917 5108 
175081 -56321 160446 
154645 48587 67502 
109247 41027 119044 
3607 36192 55350 
181911 192979 136673 
28939 -152217 199865 
151038 -75984 25099 
-19740 -129955 114716 
-27841 -101154 57198 
-115265 11816 199145 
92685 113351 145208 
-119902 165027 41123 
22650 11426 149508 
-92292 127748 140059 
-95788 89415 85921 
196273 -123273 115576 
152332 197646 176699 
179254 180703 64410 
-109180 83723 72978 
173437 167229 27822 
159970 13556 121790 
95301 181769 197614 
-169929 141507 34445 
-54837 56769 16267 
-54322 -99542 152284 
147474 -145459 134286 
98680 112750 1845 
112647 147317 188623 
-10523 -151651 31629 
-133825 57 139332 
177362 61190 176032 
-46714 179046 112910 
-14155 -47778 99238 
159166 23191 26869 
24319 26828 158483 
83955 -135315 192933 
190017 -50254 142003 
54599 -124626 58918 
15601 27243 93493 
-9626 -9483 133964 
140336 -61317 134396 
-194960 -86999 95657 
-171073 71499 102891 
-165001 420 133847 
-154006 192580 27313 
-11001 177243 139185 
-5507 -126708 171472 
74408 -171424 46909 
57207 -181351 32353 
-75614 164498 169324 
92473 41244 34045 
113525 -40022 116795 
44778 18086 119265 
-177434 187267 47544 
-82186 -127750 154429 
165779 80969 85331 
44179 157849 46307 
-139675 -191081 106560 
3150 129287 64577 
32379 128433 38470 
79951 150426 191534 
-84832 -51288 38742 
79476 25805 15089 
-45752 32711 17150 
-125031 -148164 98387 
-23483 131941 151221 
-144665 35581 2368 
184735 124216 48011 
-199581 43884 86268 
143663 -93229 188124 
193728 57427 81729 
162427 -191618 112475 
35671 170375 43170 
140854 -58112 180161 
-179655 84475 169187 
-67715 -163907 123170 
84792 82018 21465 
-26605 14463 55088 
-148455 65392 16160 
142387 -20476 61543 
-149955 3168 72013 
53590 -157409 47283 
160238 139822 62722 
-22740 170457 18119 
173980 -56693 34411 
-192041 134784 28267 
-18134 -50630 91463 
-64176 -118806 73996 
90512 104142 98965 
116269 184682 29432 
-40025 -79072 167809 
-121361 30656 115062 
-108720 -23934 94577 
68862 163084 3298 
-166040 -22126 136548 
-133027 116806 6869 
55359 -81557 28130 
185176 -104472 18112 
93429 176459 150163 
182118 -198644 186753 
9123 -92781 82425 
150070 47135 1831 
-10828 -113103 89163 
-40446 91596 28429 
-76549 198635 68006 
-48674 78446 144314 
36020 -174252 59664 
-123895 82511 40890 
-114197 -50886 174631 
85506 -49726 132685 
24939 168688 18902 
-44287 -96724 91354 
189742 175375 6204 
129221 -154435 35325 
181923 46543 91194 
387 -7030 23366 
-129900 51538 14494 
-78776 158250 123274 
-59043 -54314 189398 
-47294 180941 188298 
-15029 39776 46290 
-40784 169261 63228 
23690 110136 122805 
-154492 -102576 114122 
61579 -49228 168776 
-45193 22790 187683 
-5007 78901 158331 
-193 -68817 53741 
13300 110261 192408 
9264 -42523 62404 
37555 -98442 40602 
-39950 58661 37024 
52232 -150660 98569 
158435 138422 155963 
33294 -72580 123113 
-117 145175 190484 
159661 -92737 11512 
99466 55782 104135 
192383 33485 66489 
62689 156033 180903 
167736 -108321 193055 
188893 153493 104918 
165261 153306 195019 
-4267 155597 61071 
25177 -111344 75761 
-114139 -69703 140870 
22334 -54263 8910 
15149 151352 70480 
102252 -15489 108788 
-72513 -171502 179188 
127400 166417 100291 
-34637 -29605 77660 
165993 -25230 146362 
-94794 174150 142024 
-126246 -12791 128614 
140718 -36809 113869 
63041 -147079 145809 
177168 -81134 43619 
42072 -102201 7724 
133710 -34144 91472 
99679 156443 20713 
153892 -33643 108858 
-122999 -150567 8177 
-182002 -53360 91122 
-101962 41249 26077 
142240 168440 94579 
-123834 -121522 41621 
-182165 18722 176596 
172197 94679 18397 
117483 157036 108943 
41761 -151685 72591 
-79284 6963 187642 
94931 189828 82255 
172565 -58645 66386 
132092 186644 52879 
-72800 -125103 55685 
150950 -100558 148360 
-111529 135039 6314 
-148133 -10743 133509 
123556 155501 13782 
165174 49925 50918 
-4298 148992 32265 
-98625 -12409 113205 
-26211 53997 14856 
-172984 -52054 91660 
76985 -27489 151239 
186731 111115 184529 
9022 25733 143141 
-63039 131354 96279 
115153 154076 68353 
134483 -190182 13594 
-120679 -38834 43737 
-56262 71533 29724 
16409 -132304 8192 
-150939 60876 193339 
131497 -73795 68403 
-149274 -12786 25921 
-85533 -96606 14502 
-69066 168598 168617 
-92225 141305 35182 
155843 116303 180293 
184811 -70971 117946 
130851 126440 189266 
-77765 -86886 184066 
157289 -78072 35379 
-25540 141427 113795 
102991 96494 53507 
-176628 129069 13328 
89550 89918 77908 
-140634 132788 128741 
20987 12523 184954 
41928 177996 190664 
192173 124615 103064 
-37216 -106123 95989 
-18721 -70206 182986 
106734 -117016 100592 
74158 176715 157907 
-148318 194549 75899 
50499 35610 79515 
198000 -185199 73579 
-38867 66362 153734 
-58639 129902 169164 
168196 -22219 141731 
53416 -152839 99247 
-27687 -57495 3162 
-166169 -130923 177161 
155425 -50875 108072 
186351 34079 109982 
-44250 -143669 197546 
-133938 -179712 24810 
-17588 -150358 57294 
-85539 -190639 159654 
66124 -139730 177352 
177464 -60714 176805 
-84533 -148003 98106 
170830 -51316 147804 
380 -114031 198391 
-103786 124077 53983 
-116375 -175364 124153 
180237 44640 1028 
126276 127413 165946 
125954 -73444 176210 
-14670 198567 158157 
-102649 128326 115849 
46628 -39205 95341 
-156058 -139197 102669 
81783 114553 167120 
193353 13858 53342 
199175 173571 156006 
-13614 180768 160331 
-170027 -137633 6459 
686 -121185 197530 
107768 -72726 33866 
32889 -123092 111739 
-152466 -173483 124114 
-189582 40675 9502 
118122 56986 12676 
199218 -45754 175400 
-77708 46218 145754 
109755 146790 99860 
68883 111393 160226 
75844 154139 23152 
793 -15534 50411 
-187420 98797 27817 
195407 -192206 72608 
-68763 -85298 30089 
194219 85233 184530 
50098 -140727 175687 
131668 140212 113780 
24252 -27675 114242 
-18097 184876 134814 
138613 -11610 11118 
143370 76390 57598 
-44534 164470 136315 
-178312 107784 109674 
-65241 -37224 99436 
-189085 199291 130677 
2058 55928 155984 
-13895 -51510 107197 
-1273 14998 20028 
593579 
559710 
573194 
802539 
127668 
964574 
339626 
532020 
354658 
825166 
778988 
108589 
940385 
597755 
89114 
454552 
330136 
570237 
992957 
825669 
206617 
702239 
166397 
143075 
198600 
914369 
908960 
824213 
48228 
576441 
880833 
738272 
544951 
549067 
373079 
346669 
129555 
12423 
571743 
957937 
75066 
25509 
308281 
109686 
39179 
120090 
488107 
497120 
517622 
910956 
340303 
591397 
817411 
480477 
519088 
405705 
977606 
945524 
893936 
788114 
882278 
404264 
203862 
91384 
866360 
149135 
7829 
957534 
772041 
93138 
78882 
387284 
130075 
336017 
621536 
278264 
104230 
328027 
978074 
509133 
28371 
58971 
44904 
348496 
670272 
175981 
445692 
699766 
901575 
756998 
675227 
335879 
592155 
367360 
702037 
500701 
521669 
190370 
877867 
133888 
257582 
835934 
494311 
424350 
800314 
473806 
890980 
153261 
529617 
178237 
782545 
324308 
498197 
273657 
546124 
58995 
556582 
315387 
856993 
563687 
593717 
585155 
137091 
46615 
460639 
111679 
472305 
110394 
737059 
442896 
748046 
368740 
144357 
572275 
928984 
242337 
943216 
570352 
615486 
289333 
259189 
179468 
536000 
345081 
472826 
951731 
932697 
410230 
618397 
837755 
654787 
569520 
364364 
501467 
672466 
732319 
649230 
779656 
251990 
601372 
279779 
40822 
983037 
294275 
948767 
176145 
750433 
779102 
26094 
163664 
594151 
215239 
540741 
44758 
1707 
556860 
602007 
242125 
249486 
803096 
750164 
788046 
428181 
599098 
335131 
691556 
650485 
44027 
939198 
931097 
196270 
101246 
687496 
991466 
560892 
21335 
80536 
967910 
710634 
580438 
118109 
621847 
237590 
830241 
750987 
633763 
278588 
357355 
298859 
991165 
381131 
248280 
755872 
465717 
658550 
705800 
711286 
197060 
852178 
391215 
51603 
325046 
928538 
586781 
643742 
903678 
866315 
575840 
78027 
794244 
741450 
934215 
610475 
355198 
724890 
102085 
592519 
646822 
75189 
196468 
83284 
710760 
72982 
473015 
540316 
495166 
383189 
329851 
578503 
261148 
442572 
28237 
419567 
248182 
715898 
920955 
675847 
201018 
834924 
369017 
262480 
868214 
105748 
871211 
236273 
597698 
492610 
849786 
364884 
763229 
704234 
962248 
786994 
337539 
937267 
184575 
392780 
985756 
722790 
411184 
442828 
616482 
685715 
702988 
900742 
31142 
236308 
169870 
717206 
480710 
590034 
739931 
458412 
298510 
540365 
192371 
359527 
685792 
61035 
423260 
85846 
660780 
869932 
588835 
167123 
960488 
632627 
256263 
6108 
618351 
264102 
871880 
45011 
367737 
405825 
285084 
745385 
712655 
871533 
375840 
932026 
157055 
527335 
350104 
60589 
684484 
144954 
984280 
791668 
920693 
319306 
783169 
887769 
749473 
922994 
148831 
327974 
389627 
697318 
717412 
684589 
268728 
462712 
922888 
977707 
354196 
427404 
656724 
506925 
213534 
780605 
375181 
283594 
623879 
790138 
143832 
3489 
71868 
150197 
153857 
768876 
101407 
600435 
89143 
806430 
748023 
173744 
861823 
577647 
922080 
693659 
627907 
594191 
401224 
279185 
115115 
785887 
587239 
238752 
949587 
561955 
766954 
881959 
363807 
76832 
703696 
937447 
700182 
216685 
62668 
838472 
475289 
419411 
922030 
181513 
671616 
168445 
213371 
48242 
110584 
670279 
996132 
806122 
171263 
43233 
662152 
531269 
154934 
421210 
913235 
871533 
820716 
981014 
708639 
991979 
267883 
220533 
935584 
652745 
924168 
640424 
856557 
771765 
409096 
396264 
836682 
387557 
728118 
402869 
400792 
171556 
458078 
910589 
581924 
910146 
920187 
686834 
106567 
578538 
332579 
459886 
13674 
13418 
967080 
268492 
453348 
346669 
556645 
721091 
687347 
967757 
753284 
635458 
162680 
67313 
669344 
11112 
159450 
600079 
153788 
954404 
282364 
29513 
487922 
434400 
114773 
449331 
739253 
312218 
298303 
510355 
889414 
98100 
73942 
929637 
770315 
32665 
873878 
77976 
524919 
506042 
148924 
291460 
409564 
454783 
499804 
5583 
394131 
955906 
378359 
665057 
487607 
422282 
505594 
135178 
429941 
752634 
124119 
557750 
844278 
34210 
951320 
383314 
393984 
37197 
292248 
335361 
150651 
30568 
388339 
608537 
431425 
332506 
604741 
991693 
870836 
924352 
237784 
259582 
227260 
367789 
211774 
989952 
740099 
287167 
33777 
274534 
554476 
824350 
431354 
949369 
123395 
622932 
322640 
677525 
856469 
254454 
474498 
796176 
848590 
738726 
768722 
314707 
324224 
714989 
763814 
101742 
519646 
551435 
328730 
523467 
519882 
4041 
922954 
609523 
85767 
624729 
72137 
871404 
634679 
581319 
771546 
857411 
444490 
378630 
585743 
441833 
763226 
618199 
10927 
34864 
960721 
487324 
842673 
548003 
226577 
608974 
668295 
544949 
783371 
306880 
614177 
796761 
647733 
514191 
901011 
619532 
276915 
550610 
490158 
669076 
407242 
325707 
226111 
541770 
444470 
617519 
895511 
127659 
230275 
787296 
333323 
706133 
319526 
660527 
32748 
400455 
21715 
442000 
413595 
607553 
281907 
332980 
5311 
59790 
566753 
541277 
86778 
192482 
459259 
818463 
830468 
531238 
550074 
451937 
589174 
539118 
739556 
370341 
508645 
736074 
350013 
667520 
630165 
695078 
490914 
992074 
938469 
939472 
144745 
596661 
708214 
478268 
683681 
655637 
130329 
281989 
831947 
814879 
693609 
944225 
183256 
323897 
450938 
334486 
492976 
834102 
506250 
237962 
295846 
689251 
627390 
564838 
321537 
526309 
21982 
631042 
192509 
101152 
740776 
410460 
461964 
859989 
729090 
358058 
501564 
996529 
809000 
28715 
395863 
168436 
513969 
580406 
3506 
553237 
792379 
120630 
17024 
506489 
288868 
5441 
969776 
256394 
831289 
363536 
154322 
15257 
282140 
611982 
421580 
767792 
513801 
478691 
549519 
951478 
690165 
958184 
833989 
407967 
944898 
663395 
119794 
280309 
911841 
437654 
571469 
362483 
628266 
145444 
509026 
379988 
582569 
891450 
403784 
304337 
340769 
852281 
469228 
532815 
609562 
129478 
760648 
345152 
62346 
659733 
987465 
268974 
65643 
858653 
660708 
927607 
290903 
108356 
730110 
814327 
248047 
591629 
307895 
563960 
864762 
488807 
260848 
704182 
81882 
199674 
66809 
261564 
178296 
97561 
511231 
784303 
771067 
627248 
188777 
346129 
795625 
346965 
337744 
477285 
215352 
278871 
344376 
228461 
104278 
492482 
800551 
668369 
438797 
867709 
923547 
90027 
216795 
32175 
905124 
631994 
16632 
490269 
151108 
687365 
660836 
952885 
850169 
277013 
55934 
618643 
305044 
574301 
712442 
135058 
583137 
629630 
874699 
982686 
756714 
125232 
751446 
983328 
553767 
30331 
83166 
317512 
778428 
835009 
301794 
596287 
325937 
671475 
658429 
628291 
231786 
52014 
436643 
926008 
452621 
239926 
729314 
201880 
911032 
562034 
353905 
408936 
764043 
998387 
146232 
252414 
665744 
878665 
452464 
502628 
133903 
633462 
794816 
549724 
698987 
519979 
291375 
588805 
197307 
428059 
158409 
661050 
809462 
138374 
658512 
625287 
389447 
516838 
386672 
45175 
277482 
39529 
12456 
33209 
377268 
549784 
873622 
536444 
572069 
870403 
444786 
913227 
158480 
887184 
827259 
484184 
967235 
415824 
138693 
627351 
244384 
316783 
136311 
38661 
446931 
371044 
190991 
55962 
504201 
563449 
742349 
949067 
113560 
848494 
592226 
854512 
973169 
959904 
957699 
128794 
973165 
35214 
423737 
920112 
908693 
225057 
139038 
266933 
15515 
93691 
590576 
243258 
484330 
388469 
798049 
921289 
567135 
790301 
207973 
458203 
965290 
601317 
780299 
74190 
204336 
32690 
582439 
729848 
335810 
859566 
42443 
918348 
292593 
460052 
679862 
369837 
107413 
421532 
820558 
739242 
929605 
986523 
738815 
861327 
708838 
18272 
779319 
49953 
289931 
132291 
314652 
940098 
126409 
829505 
